name:suite,mem_acc_0_to_0,mem_acc_0_to_1,mem_acc_0_to_2,mem_acc_0_to_3,mem_acc_0_to_4,mem_acc_0_to_5,mem_acc_0_to_6,mem_acc_0_to_7,mem_acc_1_to_0,mem_acc_1_to_1,mem_acc_1_to_2,mem_acc_1_to_3,mem_acc_1_to_4,mem_acc_1_to_5,mem_acc_1_to_6,mem_acc_1_to_7,mem_acc_2_to_0,mem_acc_2_to_1,mem_acc_2_to_2,mem_acc_2_to_3,mem_acc_2_to_4,mem_acc_2_to_5,mem_acc_2_to_6,mem_acc_2_to_7,mem_acc_3_to_0,mem_acc_3_to_1,mem_acc_3_to_2,mem_acc_3_to_3,mem_acc_3_to_4,mem_acc_3_to_5,mem_acc_3_to_6,mem_acc_3_to_7,mem_acc_4_to_0,mem_acc_4_to_1,mem_acc_4_to_2,mem_acc_4_to_3,mem_acc_4_to_4,mem_acc_4_to_5,mem_acc_4_to_6,mem_acc_4_to_7,mem_acc_5_to_0,mem_acc_5_to_1,mem_acc_5_to_2,mem_acc_5_to_3,mem_acc_5_to_4,mem_acc_5_to_5,mem_acc_5_to_6,mem_acc_5_to_7,mem_acc_6_to_0,mem_acc_6_to_1,mem_acc_6_to_2,mem_acc_6_to_3,mem_acc_6_to_4,mem_acc_6_to_5,mem_acc_6_to_6,mem_acc_6_to_7,mem_acc_7_to_0,mem_acc_7_to_1,mem_acc_7_to_2,mem_acc_7_to_3,mem_acc_7_to_4,mem_acc_7_to_5,mem_acc_7_to_6,mem_acc_7_to_7
lu.c:npb,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5,478756407.625,1195055954.875,943609733.75,931792824.875,801892615.0625,565653842.6875,562059518.3125,828245712.5
lu:easy,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0,344554754.1875,6982295838.75,30379984.125,2229202942.125,28914077.9375,4423235085.75,31382640.6875,5109759636.0
lu_cb:splash2x,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375,801663289.6875,1181119973.3125,469045695.5,1236392327.4375,731582406.5625,1390658928.875,862771995.25,1537671012.9375
lu_ncb:splash2x,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5,1288703007.0,1818120891.375,1360488758.6875,3958301614.5625,1423167777.375,3902351178.25,1972243734.5,3182772777.5
mg.c:npb,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75,332649748.4375,10403366478.0625,83796690.9375,1994355150.125,497788041.9375,2067544404.75,73850226.75,1077135097.75
ocean_cp:splash2x,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375,3129210589.5625,2634163559.0,1129976634.5625,7758427434.5625,3598315058.0,4085094388.625,2376898024.9375,6393924732.9375
ocean_ncp:splash2x,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375,4812304040.5,4078763667.625,5008485738.9375,4687133230.125,4129825275.5,4887033219.1875,4817121033.1875,3857493540.9375
prod:easy,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375,1493067029.375,99139651418.8125,29580003473.5,88440659549.625,114545126.4375,59035774915.125,116416991.125,42820322411.375
radiosity:splash2x,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625,82824968.1875,16670634.3125,2261233.375,77170071.875,20817342.75,147147135.0625,12263689.375,22008015.5625
radix:splash2x,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875,410363817.3125,410725627.25,379059196.375,380496914.875,402724868.1875,443401148.25,422995745.5,448786191.875
